University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
University of Arkansas at Fayetteville,University Arkansas,26237,Arkansas,1.20%,2.50%,5.10%,6.30%,0.10%,3.00%,18.20%,5.80%,0.50%,75.50%,51.10%,48.90%
Oklahoma State University at Stillwater,Oklahoma State University Stillwater,25962,Oklahoma,4.70%,1.60%,4.40%,5.20%,0.10%,7.30%,23.30%,7.50%,0.90%,68.20%,48.40%,51.60%
Weber State University,Weber State University,25954,Utah,0.40%,1.20%,1.20%,9.40%,0.40%,1.60%,14.20%,1.60%,34.50%,49.70%,53.40%,46.60%
Auburn University,Auburn University,25912,Alabama,0.70%,2.30%,7.30%,2.30%,0.00%,0.00%,12.60%,5.50%,1.40%,80.50%,49.40%,50.60%
Kennesaw State University,Kennesaw State University,25714,Georgia,0.20%,3.30%,18.80%,7.20%,0.20%,4.00%,33.80%,2.10%,3.00%,61.10%,58.10%,41.90%
George Washington University District o,George Washington University District o,25613,Washington,0.20%,8.80%,8.70%,6.30%,0.10%,2.20%,26.30%,14.30%,6.90%,52.40%,57.00%,43.00%
Montgomery College,Montgomery College,25517,Maryland,0.30%,11.20%,28.40%,21.30%,0.30%,2.40%,63.90%,9.60%,0.20%,26.30%,52.70%,47.30%
Florida State College at Jacksonville,Florida State College Jacksonville,25514,Florida,0.30%,3.60%,25.40%,6.80%,0.50%,2.20%,38.80%,0.80%,11.50%,48.90%,59.90%,40.10%
Grand Valley State University,Grand Valley State University,25094,Michigan,0.40%,1.90%,5.10%,4.30%,0.10%,3.00%,14.80%,1.60%,0.40%,83.20%,59.60%,40.40%
Fullerton College,Fullerton College,25051,California,0.30%,13.60%,3.20%,52.10%,0.40%,3.10%,72.60%,1.20%,3.40%,22.80%,51.30%,48.70%
University of Nebraska at Lincoln,University Nebraska Lincoln,25006,Nebraska,0.20%,2.30%,2.50%,4.60%,0.10%,2.30%,12.00%,9.90%,2.40%,75.60%,47.80%,52.20%
Old Dominion University,Old Dominion University,24932,Virginia,0.40%,4.00%,24.00%,6.30%,0.40%,5.30%,40.30%,3.30%,4.10%,52.30%,55.00%,45.00%
