University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
Icahn School of Medicine at Mount Sinai,Icahn School Medicine Mount Sinai,1074,New York,0.70%,20.50%,6.80%,8.40%,0.10%,2.40%,38.80%,12.80%,7.30%,41.10%,54.00%,46.00%
Houghton College,Houghton College,1073,New York,0.20%,1.60%,2.40%,1.90%,0.00%,3.90%,10.00%,8.70%,2.40%,78.90%,63.70%,36.30%
Ohio Technical College,Ohio Technical College,1073,Ohio,0.20%,0.80%,17.00%,6.00%,0.20%,3.00%,27.10%,0.30%,1.50%,71.10%,6.20%,93.80%
Calumet College of Saint Joseph,Calumet College Saint Joseph,1072,Indiana,0.20%,0.80%,29.90%,28.30%,0.10%,0.70%,60.00%,0.10%,0.00%,39.90%,45.60%,54.40%
Dunwoody College of Technology,Dunwoody College Technology,1070,Minnesota,0.60%,4.50%,7.00%,2.10%,0.20%,4.60%,19.00%,0.00%,3.40%,77.70%,13.60%,86.40%
Art Institute of San Antonio,Art Institute San Antonio,1070,Texas,0.50%,1.40%,12.30%,50.50%,1.50%,0.00%,66.20%,0.00%,5.80%,28.00%,47.30%,52.70%
Doane College,Doane College,1065,Nebraska,0.30%,1.40%,3.80%,6.50%,0.20%,2.30%,14.40%,1.50%,1.80%,82.30%,49.80%,50.20%
Maranatha Baptist University,Maranatha Baptist University,1064,Wisconsin,0.20%,0.70%,1.30%,2.40%,0.30%,3.50%,8.40%,0.80%,21.10%,69.70%,53.00%,47.00%
J.F. Drake State Technical College,J.F. Drake State Technical College,1062,Alabama,1.20%,1.00%,56.80%,2.60%,0.10%,1.90%,63.70%,0.00%,0.80%,35.50%,57.10%,42.90%
Charter College-Canyon Country,Charter College Canyon Country,1062,California,0.30%,0.80%,23.00%,49.20%,5.10%,2.10%,80.50%,0.00%,0.80%,18.60%,79.80%,20.20%
West Coast University at Ontario,West Coast University Ontario,1061,California,1.40%,31.70%,4.90%,3.20%,2.50%,2.10%,45.80%,0.00%,20.00%,34.20%,74.40%,25.60%
Maine Maritime Academy,Maine Maritime Academy,1060,Maine,0.30%,0.70%,0.60%,0.80%,0.20%,0.00%,2.50%,0.00%,2.50%,95.00%,13.90%,86.10%
William Jewell College,William Jewell College,1060,Missouri,0.40%,0.90%,5.60%,3.40%,0.20%,5.70%,16.10%,4.30%,2.40%,77.20%,60.00%,40.00%
Art Institute of California at San Francisco,Art Institute California San Francisco,1058,California,0.30%,9.30%,7.00%,29.30%,1.30%,7.60%,54.70%,0.00%,30.40%,14.80%,46.30%,53.70%
Olivet College,Olivet College,1058,Michigan,0.40%,0.70%,9.80%,5.80%,0.00%,3.90%,20.50%,1.00%,0.50%,78.00%,40.20%,59.80%
Cairn University,Cairn University,1058,Pennsylvania,0.20%,3.80%,16.50%,6.20%,0.10%,1.50%,28.40%,1.90%,1.90%,67.90%,54.70%,45.30%
Washington Adventist Universit,Washington Adventist Universit,1057,Washington,1.10%,7.90%,53.70%,12.00%,0.30%,1.00%,76.20%,3.50%,8.60%,11.70%,63.40%,36.60%
Brescia University,Brescia University,1056,Kentucky,0.90%,0.30%,12.60%,6.00%,0.20%,0.00%,19.90%,0.90%,12.50%,66.70%,73.00%,27.00%
McDowell Technical Community College,McDowell Technical Community College,1056,North Carolina,0.50%,1.50%,3.10%,5.60%,0.00%,0.10%,10.80%,0.60%,2.30%,86.40%,63.90%,36.10%
Ohio State University at Lima,Ohio State University Lima,1056,Ohio,0.20%,2.00%,3.70%,2.50%,0.00%,2.30%,10.60%,0.10%,2.80%,86.50%,55.10%,44.90%
Stillman College,Stillman College,1056,Alabama,0.00%,0.20%,90.30%,1.70%,0.00%,0.00%,92.20%,0.20%,0.10%,7.50%,46.00%,54.00%
Tulsa Welding School,Tulsa Welding School,1054,Oklahoma,15.90%,0.40%,8.30%,11.80%,0.10%,2.40%,38.90%,0.10%,16.30%,44.70%,6.10%,93.90%
Eastern Virginia Medical School,Eastern Virginia Medical School,1049,Virginia,0.20%,19.70%,10.90%,0.70%,0.50%,4.10%,36.00%,0.00%,8.60%,55.40%,56.60%,43.40%
Heald College at Roseville (Calif.),Heald College Roseville (Calif.),1049,California,1.10%,3.60%,3.80%,5.60%,1.40%,3.00%,18.60%,0.00%,45.60%,35.80%,72.90%,27.10%
Cal State Maritime Academy,California State University Maritime Academy,1047,California,0.30%,8.90%,1.80%,17.10%,0.40%,10.50%,39.00%,0.70%,6.00%,54.30%,13.90%,86.10%
Rocky Mountain College of Art & Design,Rocky Mountain College Art & Design,1045,Colorado,3.70%,2.40%,8.90%,9.20%,0.00%,1.00%,25.20%,0.20%,14.90%,59.70%,65.90%,34.10%
Belmont College,Belmont College,1042,Ohio,1.20%,0.30%,2.90%,0.70%,0.00%,1.60%,6.70%,0.00%,0.10%,93.20%,65.60%,34.40%
Sierra Nevada College,Sierra Nevada College,1039,Nevada,3.00%,1.80%,3.90%,3.20%,1.00%,0.30%,13.20%,2.30%,15.20%,69.30%,57.70%,42.30%
Pima Medical Institute at Mesa (Ariz.),Pima Medical Institute Mesa (Ariz.),1038,Arizona,5.80%,3.40%,5.40%,27.00%,0.10%,3.10%,44.70%,0.00%,5.80%,49.50%,74.20%,25.80%
Emory & Henry College,Emory & Henry College,1038,Virginia,0.70%,0.50%,9.90%,1.90%,0.10%,2.40%,15.50%,1.30%,6.60%,76.50%,50.30%,49.70%
Dade Medical College at Miami,Dade Medical College Miami,1037,Florida,0.10%,0.30%,8.50%,88.50%,0.00%,0.00%,97.40%,0.00%,0.60%,2.00%,75.60%,24.40%
Concordia College (N.Y.),Concordia College (N.Y.),1037,New York,0.20%,3.00%,20.50%,20.30%,0.00%,1.80%,45.80%,11.50%,8.00%,34.70%,68.70%,31.30%
Barton College,Barton College,1035,North Carolina,0.90%,1.20%,23.70%,5.30%,0.00%,2.70%,33.70%,2.90%,5.00%,58.40%,69.20%,30.80%
Florida Keys Community College,Florida Keys Community College,1033,Florida,0.50%,2.20%,7.20%,3.00%,0.50%,1.70%,15.10%,0.30%,18.40%,66.20%,55.50%,44.50%
Lincoln Trail College,Lincoln Trail College,1031,Illinois,0.20%,1.20%,2.10%,1.60%,0.10%,1.30%,6.50%,0.00%,0.10%,93.40%,57.30%,42.70%
Huston-Tillotson University,Huston Tillotson University,1031,Texas,0.10%,0.50%,70.00%,18.70%,0.00%,0.80%,90.10%,4.30%,1.10%,4.60%,55.80%,44.20%
New York Law School,New York Law School,1029,New York,0.00%,7.50%,7.90%,13.60%,0.20%,2.30%,31.50%,3.40%,9.30%,55.80%,53.20%,46.80%
University of Phoenix-Louisiana,University Phoenix Louisiana,1028,Louisiana,0.10%,0.50%,51.80%,2.80%,0.10%,2.70%,58.10%,0.00%,27.00%,14.90%,74.20%,25.80%
Heald College at Stockton (Calif.),Heald College Stockton (Calif.),1025,California,1.30%,9.70%,11.90%,39.60%,2.00%,5.30%,69.70%,0.00%,10.60%,19.70%,72.50%,27.50%
Weill Cornell Medicine,Weill Cornell Medicine,1023,New York,0.40%,15.20%,5.30%,7.60%,0.50%,2.40%,31.50%,18.80%,5.00%,44.80%,53.40%,46.60%
Cheyney University of Pennsylvania,Cheyney University Pennsylvania,1022,Pennsylvania,0.10%,0.10%,85.50%,3.70%,0.10%,3.70%,93.20%,0.20%,5.40%,1.20%,50.20%,49.80%
University of ManagementÊand Technology,University ManagementÊand Technology,1020,Virginia,0.30%,14.40%,18.30%,8.40%,1.00%,1.10%,43.50%,0.00%,31.10%,25.40%,26.00%,74.00%
MTI College (Calif.),MTI College (Calif.),1020,California,0.50%,8.70%,9.90%,20.40%,0.30%,5.40%,45.20%,0.00%,3.70%,51.10%,72.30%,27.70%
University of Phoenix-Missouri,University Phoenix Missouri,1020,Missouri,0.60%,0.20%,34.80%,3.10%,0.50%,3.90%,43.10%,0.40%,29.30%,27.20%,70.30%,29.70%
College of Saint Mary,College Saint Mary,1018,Nebraska,0.50%,1.70%,6.20%,10.00%,0.10%,2.50%,20.90%,0.70%,0.40%,78.00%,97.70%,2.30%
DigiPen Institute of Technology,DigiPen Institute Technology,1018,Washington,0.00%,5.20%,0.60%,5.00%,0.40%,5.90%,17.10%,16.50%,26.70%,39.70%,19.80%,80.20%
Antioch University at Los Angeles,Antioch University Los Angeles,1017,California,0.60%,3.90%,12.50%,23.40%,0.00%,3.70%,44.10%,1.70%,7.70%,46.50%,72.00%,28.00%
University itek College,University itek College,1017,California,0.10%,29.90%,4.20%,15.40%,2.00%,5.80%,57.40%,0.50%,28.20%,13.90%,79.80%,20.20%
St. Augustine's University (N.C.),St Augustine's University (N.C.),1016,North Carolina,0.30%,0.10%,95.20%,0.80%,0.00%,0.00%,96.40%,1.80%,0.60%,1.30%,49.30%,50.70%
AIB College of Business,AIB College Business,1014,Iowa,0.30%,0.80%,3.70%,4.80%,0.50%,1.30%,11.40%,2.00%,41.50%,45.10%,52.60%,47.40%
Transylvania University,Transylvania University,1014,Kentucky,0.10%,2.00%,3.10%,4.50%,0.10%,3.00%,12.70%,3.60%,3.50%,80.30%,58.40%,41.60%
Southeastern College at Greenacres,Southeastern College Greenacres,1013,Florida,0.70%,2.50%,23.40%,31.60%,0.10%,1.80%,60.00%,0.00%,0.50%,39.50%,75.70%,24.30%
Hilbert College,Hilbert College,1012,New York,1.70%,0.20%,8.50%,2.40%,0.10%,4.20%,17.00%,0.90%,8.40%,73.70%,56.80%,43.20%
River Valley Community College,River Valley Community College,1009,New Hampshire,1.20%,2.00%,0.70%,2.40%,0.00%,0.80%,7.00%,0.00%,9.10%,83.80%,69.40%,30.60%
University of the Southwest,University Southwest,1009,New Mexico,2.10%,1.00%,24.00%,20.70%,0.40%,0.00%,48.20%,0.30%,17.70%,33.80%,65.30%,34.70%
Art Institute of Phoenix,Art Institute Phoenix,1009,Arizona,4.00%,1.10%,5.90%,33.20%,0.10%,1.70%,46.00%,0.00%,28.90%,25.10%,48.60%,51.40%
McMurry University,McMurry University,1007,Texas,1.20%,1.40%,18.00%,21.40%,0.10%,1.00%,43.10%,0.40%,0.20%,56.30%,48.50%,51.50%
Rocky Mountain College,Rocky Mountain College,1007,Montana,2.10%,1.00%,3.20%,1.80%,0.50%,6.70%,15.20%,4.70%,2.30%,77.90%,48.40%,51.60%
Roanoke-Chowan Community College,Roanoke Chowan Community College,1007,North Carolina,0.60%,0.10%,61.10%,1.80%,0.00%,0.50%,64.10%,0.00%,7.30%,28.60%,65.50%,34.50%
LeMoyne-Owen College,LeMoyne Owen College,1006,Tennessee,0.00%,0.20%,98.10%,0.40%,0.00%,0.00%,98.70%,1.00%,0.00%,0.30%,62.40%,37.60%
Tennessee Wesleyan College,Tennessee Wesleyan College,1006,Tennessee,0.10%,1.20%,6.80%,2.40%,1.00%,1.80%,13.20%,2.90%,2.90%,81.00%,63.20%,36.80%
Rich Mountain Community College,Rich Mountain Community College,1005,Arkansas,2.40%,0.70%,0.10%,4.10%,0.20%,1.90%,9.40%,0.80%,0.70%,89.20%,68.10%,31.90%
Adler University,Adler University,1004,Illinois,0.40%,3.80%,12.70%,10.60%,0.00%,2.60%,30.10%,4.10%,5.30%,60.60%,78.30%,21.70%
University of California-Hastings College of the Law,University California Hastings College Law,1003,California,1.30%,21.90%,4.90%,13.80%,0.40%,2.60%,44.90%,7.70%,11.20%,36.30%,52.80%,47.20%
Carlos Albizu University at Miami,Carlos Albizu University Miami,1000,Florida,0.20%,0.80%,5.00%,77.80%,0.00%,0.20%,84.00%,4.80%,4.10%,7.10%,78.80%,21.20%
Nebraska Methodist College,Nebraska Methodist College Nursing & Allied Health,1000,Nebraska,0.50%,1.50%,3.90%,3.40%,0.10%,2.00%,11.40%,0.30%,1.60%,86.70%,89.80%,10.20%
Wichita Technical Institute,Wichita Technical Institute,1000,Kansas,3.70%,1.20%,14.90%,11.80%,0.20%,3.00%,34.80%,0.00%,0.30%,64.90%,47.10%,52.90%
ITT Technical Institute at National City (Calif.),ITT Technical Institute National City (Calif.),999,California,1.50%,15.20%,17.40%,32.40%,0.90%,4.30%,71.80%,0.00%,3.40%,24.80%,21.30%,78.70%
Naropa University,Naropa University,996,Colorado,0.60%,0.90%,1.40%,8.20%,0.00%,8.00%,19.20%,3.70%,7.60%,69.50%,68.80%,31.20%
Brown Mackie College at Indianapolis,Brown Mackie College Indianapolis,995,Indiana,0.70%,0.50%,69.00%,4.40%,0.10%,0.10%,74.90%,0.00%,0.30%,24.80%,77.60%,22.40%
Pima Medical Institute at Houston,Pima Medical Institute Houston,993,Texas,0.50%,7.90%,15.80%,48.60%,0.00%,1.00%,73.80%,0.00%,3.90%,22.30%,83.30%,16.70%
Art Institute of California at Sacramento,Art Institute California Sacramento,993,California,0.20%,3.00%,3.70%,26.00%,0.70%,1.60%,35.20%,0.10%,43.40%,21.20%,43.50%,56.50%
Columbia Gorge Community College,Columbia Gorge Community College,991,Oregon,1.00%,1.50%,0.40%,25.30%,0.90%,1.70%,30.90%,0.00%,2.80%,66.30%,65.40%,34.60%
Western Technical College main campus,Western Technical College,990,Texas,0.50%,0.70%,3.60%,78.00%,0.70%,0.00%,83.50%,0.00%,1.10%,15.40%,15.40%,84.60%
Scripps College,Scripps College,988,California,0.10%,18.30%,3.10%,9.40%,0.10%,6.20%,37.20%,4.60%,9.30%,48.90%,99.40%,0.60%
Pima Medical Institute-Las Vegas,Pima Medical Institute Las Vegas,988,Nevada,0.80%,11.70%,10.50%,37.20%,0.70%,5.20%,66.20%,0.00%,1.80%,32.00%,78.90%,21.10%
Concorde Career Institute at Grand Prairie (Tex.),Concorde Career Institute Grand Prairie (Tex.),987,Texas,0.40%,1.50%,45.50%,23.50%,0.50%,3.20%,74.70%,0.00%,1.40%,23.90%,87.90%,12.10%
Art Institute of Michigan,Art Institute Michigan,986,Michigan,0.30%,1.10%,17.00%,5.80%,0.00%,1.50%,25.80%,0.00%,50.40%,23.80%,52.00%,48.00%
Southwest Institute of Healing Arts,Southwest Institute Healing Arts,986,Arizona,1.50%,2.30%,3.90%,10.50%,0.50%,0.60%,19.40%,0.00%,3.50%,77.10%,88.00%,12.00%
Berks Technical Institute,Berks Technical Institute,985,Pennsylvania,0.20%,0.50%,5.50%,47.30%,0.00%,1.60%,55.10%,0.00%,2.50%,42.30%,67.30%,32.70%
Oregon State University at Cascades,Oregon State University Cascades,980,Oregon,1.40%,1.00%,0.40%,6.50%,0.10%,4.60%,14.10%,0.40%,5.90%,79.60%,59.80%,40.20%
National College at Lexington (Ky.),National College Lexington (Ky.),979,Kentucky,0.00%,0.30%,35.60%,2.60%,0.00%,1.90%,40.40%,0.10%,5.60%,53.80%,77.80%,22.20%
Parker University,Parker University,977,Texas,0.90%,5.50%,13.80%,11.40%,0.40%,1.70%,33.80%,1.00%,2.70%,62.50%,49.30%,50.70%
Concorde Career College at Garden Grove (Calif.),Concorde Career College Garden Grove (Calif.),974,California,0.70%,18.30%,3.10%,46.60%,3.00%,3.50%,75.20%,0.00%,11.90%,12.90%,71.50%,28.50%
Mayland Community College,Mayland Community College,973,North Carolina,0.70%,0.40%,1.40%,3.40%,0.00%,0.00%,6.00%,0.00%,14.00%,80.10%,62.30%,37.70%
Le Cordon Bleu College of Culinary Arts-Orlando,Le Cordon Bleu College Culinary Arts Orlando,972,Florida,0.20%,0.40%,2.80%,3.40%,0.00%,0.70%,7.50%,0.00%,87.40%,5.00%,48.70%,51.30%
Culver-Stockton College,Culver Stockton College,971,Missouri,0.30%,0.40%,12.40%,4.50%,0.70%,1.60%,20.00%,5.10%,0.00%,74.90%,47.60%,52.40%
University of Jamestown,University Jamestown,970,North Dakota,1.50%,1.10%,4.10%,4.90%,0.30%,0.00%,12.10%,6.10%,0.10%,81.80%,54.40%,45.60%
Pacifica Graduate Institute,Pacifica Graduate Institute,970,California,0.40%,2.50%,3.10%,10.60%,0.00%,5.20%,21.80%,0.90%,10.30%,67.00%,76.50%,23.50%
Bacone College,Bacone College,968,Oklahoma,25.30%,2.80%,31.90%,8.80%,0.50%,2.90%,72.20%,0.00%,9.10%,18.70%,36.80%,63.20%
Concorde Career College at San Diego,Concorde Career College San Diego,967,California,0.60%,12.40%,16.00%,43.00%,4.00%,4.00%,80.10%,0.00%,2.60%,17.30%,75.10%,24.90%
San Diego Christian College,San Diego Christian College,966,California,0.40%,2.20%,13.40%,20.30%,1.30%,3.80%,41.40%,2.20%,10.90%,45.50%,50.70%,49.30%
Cooper University ion for the Advancement of Science and Art,Cooper Union for Advancement Science and Art,966,New York,1.00%,19.80%,5.20%,9.60%,0.00%,1.90%,37.50%,15.30%,14.60%,32.60%,34.00%,66.00%
New York Chiropractic College,New York Chiropractic College,965,New York,0.40%,6.40%,4.50%,5.70%,0.30%,0.00%,17.30%,12.00%,6.90%,63.70%,49.80%,50.20%
Professional Training Center,Professional Training Center,965,Florida,0.20%,0.30%,3.50%,91.90%,0.00%,2.50%,98.40%,0.00%,0.20%,1.30%,78.00%,22.00%
Illinois College,Illinois College,965,Illinois,0.20%,0.90%,12.30%,8.50%,0.20%,3.20%,25.40%,3.30%,0.60%,70.70%,50.50%,49.50%
DeVry University of Colorado,DeVry University Colorado,964,Colorado,0.80%,2.00%,11.10%,13.60%,0.60%,1.00%,29.10%,0.70%,4.00%,66.10%,39.50%,60.50%
LaGrange College,LaGrange College,964,Georgia,0.70%,0.80%,22.00%,1.90%,0.00%,3.20%,28.60%,0.50%,0.80%,70.00%,54.00%,46.00%
Rust College,Rust College,963,Mississippi,0.00%,0.20%,96.00%,0.00%,0.00%,0.00%,96.20%,3.40%,0.00%,0.40%,58.50%,41.50%
University S. Merchant Marine Academy,#N/A,961,New York,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
St. Catharine College,St Catharine College,961,Kentucky,0.20%,0.30%,7.50%,4.30%,0.00%,2.30%,14.60%,0.90%,0.20%,84.30%,60.00%,40.00%
Relay Graduate School of Education,Relay Graduate School Education,958,New York,0.00%,6.80%,22.30%,9.30%,0.00%,0.20%,38.60%,0.10%,26.60%,34.70%,68.40%,31.60%
International Academy of Design and Technology-Online,International Academy Design and Technology Online,958,Florida,0.80%,1.70%,24.80%,8.10%,0.20%,4.70%,40.40%,0.00%,12.00%,47.60%,45.60%,54.40%
University of North Carolina School of the Arts,University North Carolina School Arts,958,North Carolina,0.50%,1.30%,7.50%,7.10%,0.20%,4.60%,21.20%,2.60%,3.20%,73.00%,48.20%,51.80%
Manhattan School of Music,Manhattan School Music,957,New York,0.00%,7.60%,2.10%,4.50%,0.00%,2.70%,16.90%,50.50%,3.90%,28.70%,55.40%,44.60%
Mercyhurst University Northeast,Mercyhurst University Northeast,956,Pennsylvania,0.10%,0.60%,10.90%,3.20%,0.10%,0.30%,15.30%,0.80%,19.90%,64.00%,66.20%,33.80%
South University at Tampa (Fla.),South University Tampa (Fla.),955,Florida,0.50%,8.70%,23.20%,22.10%,0.70%,0.00%,55.30%,0.00%,2.40%,42.30%,75.40%,24.60%
Westminster College (Mo.),Westminster College (Missouri),954,Missouri,2.20%,1.00%,7.90%,3.90%,0.20%,1.00%,16.20%,16.20%,2.50%,65.00%,43.00%,57.00%
Art Institute of Las Vegas,Art Institute Las Vegas,952,Nevada,0.10%,0.60%,0.90%,28.40%,0.30%,0.10%,30.50%,0.00%,67.20%,2.30%,44.30%,55.70%
Santa Fe University of Art and Design,Santa Fe University Art and Design,950,New Mexico,2.20%,1.70%,6.20%,24.60%,1.60%,6.60%,42.90%,15.80%,1.20%,40.10%,54.10%,45.90%
Ellsworth Community College,Ellsworth Community College,949,Iowa,0.40%,0.10%,17.60%,6.20%,0.30%,2.10%,26.80%,1.40%,9.80%,62.10%,46.40%,53.60%
Lincoln College of Technology at Grand Prarie (Tex.),Lincoln College Technology Grand Prarie (Tex.),947,Texas,0.20%,1.10%,14.00%,40.10%,0.30%,2.30%,58.10%,0.00%,1.60%,40.30%,2.70%,97.30%
Independence Community College,Independence Community College,945,Kansas,1.40%,0.20%,14.00%,3.90%,0.50%,4.20%,24.20%,2.40%,0.20%,73.10%,50.60%,49.40%
Denver Seminary,Denver Seminary,944,Colorado,0.30%,2.90%,4.60%,3.70%,0.00%,0.00%,11.40%,3.10%,8.30%,77.20%,40.00%,60.00%
Pima Medical Institute at Denver,Pima Medical Institute Denver,944,Colorado,1.00%,2.90%,1.90%,41.60%,0.10%,1.50%,48.90%,0.00%,1.00%,50.10%,84.40%,15.60%
Kaplan College at Las Vegas,Kaplan College Las Vegas,944,Nevada,1.00%,14.90%,22.20%,30.90%,3.60%,0.00%,72.70%,0.10%,2.30%,24.90%,78.20%,21.80%
Bluefield College,Bluefield College,944,Virginia,0.00%,5.10%,16.90%,3.90%,0.00%,3.20%,29.10%,2.00%,1.40%,67.50%,57.60%,42.40%
Heald College at Hayward (Calif.),Heald College Hayward (Calif.),943,California,0.80%,13.10%,16.30%,35.90%,5.30%,4.10%,75.70%,0.00%,13.90%,10.40%,71.80%,28.20%
New Mexico State University at Grants,New Mexico State University Grants,942,New Mexico,25.70%,1.00%,1.00%,39.30%,0.00%,1.80%,68.70%,0.40%,11.40%,19.50%,67.40%,32.60%
Lees-McRae College,Lees McRae College,940,North Carolina,0.30%,0.60%,6.80%,2.10%,0.00%,0.90%,10.70%,2.40%,29.00%,57.80%,66.20%,33.80%
Pennsylvania State University at Mont Alto,Pennsylvania State University Mont Alto,940,Pennsylvania,0.00%,1.20%,8.10%,4.00%,0.20%,3.10%,16.60%,0.10%,3.80%,79.50%,56.70%,43.30%
Lincoln Christian University,Lincoln Christian University,940,Illinois,1.20%,2.40%,8.60%,3.00%,0.10%,1.50%,16.80%,3.10%,0.20%,79.90%,45.70%,54.30%
Argosy University at Honolulu,Argosy University Honolulu,933,Hawaii,0.90%,15.00%,8.50%,7.00%,49.70%,0.10%,81.10%,0.00%,2.00%,16.80%,63.00%,37.00%
Montreat College,Montreat College,933,North Carolina,1.90%,1.30%,21.00%,1.90%,0.10%,2.10%,28.40%,4.30%,6.30%,61.00%,58.40%,41.60%
Art Institutes International-Minnesota,Art Institutes International Minnesota,932,Minnesota,1.80%,4.80%,14.70%,5.50%,1.10%,0.00%,27.90%,0.00%,11.60%,60.50%,57.00%,43.00%
Saint Mary-of-the-Woods College,Saint Mary of the Woods College,931,Indiana,1.00%,0.90%,3.90%,2.10%,0.10%,0.00%,7.90%,1.30%,21.10%,69.70%,93.70%,6.30%
Edward Waters College,Edward Waters College,929,Florida,0.00%,0.10%,88.10%,3.00%,0.20%,2.80%,94.20%,0.00%,2.20%,3.70%,46.20%,53.80%
Heald College at Modesto (Calif.),Heald College Modesto (Calif.),928,California,0.60%,1.60%,1.60%,18.50%,1.00%,1.90%,25.30%,0.00%,58.20%,16.50%,80.90%,19.10%
Wabash College,Wabash College,926,Indiana,0.50%,1.30%,5.90%,6.40%,0.10%,2.90%,17.20%,7.10%,1.10%,74.60%,0.00%,100.00%
Juilliard School,Juilliard School,926,New York,0.00%,12.00%,3.80%,4.80%,0.10%,5.60%,26.20%,26.90%,7.60%,39.30%,44.40%,55.60%
Virgina College at Augusta (Ga.),Virgina College Augusta (Ga.),921,Georgia,0.00%,0.20%,79.70%,2.20%,0.20%,0.40%,82.70%,0.00%,2.10%,15.20%,86.20%,13.80%
Toccoa Falls College,Toccoa Falls College,920,Georgia,0.10%,7.80%,7.10%,3.30%,0.10%,1.40%,19.80%,1.50%,0.10%,78.60%,53.50%,46.50%
Defiance College,Defiance College,920,Ohio,1.00%,0.80%,11.30%,4.90%,0.00%,0.70%,18.60%,1.40%,3.30%,76.70%,48.90%,51.10%
Brown Mackie College at Miami,Brown Mackie College Miami,919,Florida,0.20%,1.10%,65.00%,28.50%,0.30%,0.00%,95.10%,0.00%,1.00%,3.90%,69.90%,30.10%
Brown Mackie College at Atlanta,Brown Mackie College Atlanta,919,Georgia,0.20%,0.40%,89.40%,3.60%,0.00%,0.00%,93.70%,0.00%,0.50%,5.80%,73.90%,26.10%
Brown Mackie College at Cincinnati,Brown Mackie College Cincinnati,918,Ohio,0.20%,0.50%,56.00%,1.90%,0.10%,0.00%,58.70%,0.00%,0.30%,41.00%,77.80%,22.20%
Eastern West Virginia Community and Technical College,Eastern West Virginia Community and Technical College,914,West Virginia,0.00%,0.00%,1.20%,0.10%,0.00%,2.10%,3.40%,0.00%,0.30%,96.30%,73.30%,26.70%
Pennsylvania State University -Lehigh Valley,Pennsylvania State University Lehigh Valley,913,Pennsylvania,0.00%,7.70%,5.30%,16.80%,0.20%,1.30%,31.20%,0.40%,2.60%,65.70%,47.40%,52.60%
Thaddeus Stevens College of Technology,Thaddeus Stevens College Technology,913,Pennsylvania,0.20%,1.90%,12.80%,12.30%,0.00%,2.80%,30.00%,0.00%,1.50%,68.50%,5.60%,94.40%
Kaplan University at Hagerstown (Md.),Kaplan University Hagerstown (Md.),911,Maryland,1.80%,0.80%,17.50%,3.30%,0.90%,0.00%,24.10%,0.00%,1.40%,74.40%,79.60%,20.40%
Le Cordon Bleu College of Culinary Arts at Dallas,Le Cordon Bleu College Culinary Arts Dallas,909,Texas,0.70%,1.30%,13.80%,3.40%,0.30%,0.30%,19.80%,0.00%,64.50%,15.70%,47.10%,52.90%
WyoTech at Blairsville,WyoTech Blairsville,906,Pennsylvania,1.00%,0.40%,10.30%,4.20%,0.40%,2.10%,18.40%,0.00%,9.80%,71.70%,4.10%,95.90%
Greensboro College,Greensboro College,905,North Carolina,0.80%,0.80%,30.90%,3.50%,0.10%,3.10%,39.20%,0.10%,7.70%,52.90%,52.00%,48.00%
University of Science and Arts of Oklahoma,University Science and Arts Oklahoma,904,Oklahoma,11.30%,1.00%,4.10%,6.20%,0.00%,6.10%,28.70%,7.90%,0.20%,63.30%,64.50%,35.50%
Illinois Institute of Art at Schaumburg,Illinois Institute Art Schaumburg,902,Illinois,0.40%,2.50%,11.50%,17.80%,0.40%,0.00%,32.80%,0.00%,24.30%,42.90%,46.60%,53.40%
Pima Medical Institute-Chula Vista,Pima Medical Institute Chula Vista,901,California,0.40%,10.80%,6.10%,51.60%,0.20%,2.70%,71.80%,0.00%,1.70%,26.50%,75.70%,24.30%
Tougaloo College,Tougaloo College,900,Mississippi,0.10%,0.00%,98.60%,0.40%,0.00%,0.00%,99.10%,0.40%,0.00%,0.40%,65.30%,34.70%
Logan University,Logan University,899,Missouri,0.30%,2.30%,4.20%,1.80%,0.00%,1.10%,9.80%,1.60%,2.80%,85.90%,40.70%,59.30%
Arkansas Baptist College,Arkansas Baptist College,899,Arkansas,0.00%,0.10%,94.20%,0.70%,0.00%,0.00%,95.00%,0.90%,0.00%,4.10%,33.10%,66.90%
Brown Mackie College at Birmingham (Ala.),Brown Mackie College Birmingham (Ala.),898,Alabama,0.40%,0.30%,89.20%,0.80%,0.10%,0.00%,90.90%,0.00%,1.10%,8.00%,74.20%,25.80%
